"id_str","text"
"1274640084046774273","RT @tempodotco: Novel Baswedan, mengatakan Presiden Joko Widodo atau Jokowi seharusnya merasa terganggu karena sistem hukum compang-camping. https://t.co/5Rvrz1zCRD"
"1274639874201497602","RT @kompascom: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan | #HBD59Jokowi     https://t.co/DRwn3FlfIp"
"1274639786184081408","RT @BadjaNuswantara: Neta S Pane: ""Kasus (air keras) didramatisasi &amp; dipolitisasi...tujuannya hy utk menutupi kasus Novel yg sdh mjd tersangka pembunuhan...
Tragisnya,... orang2 yg mlakukan penyesatan hukum itu adlh pakar2 hukum, aktivis HAM"".

SPEECHLESS😶 
#RekayasaDidzolimi
https://t.co/WB3ftlIrpj"
"1274639692575551488","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274639515227795459","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274639480079581184","RT @KompasTV: Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
"1274639203330977792","Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
"1274639160574226434","RT @syifaz1995: Luar biasa ini ucapan selamat ultah buat Bapak Jokowi dari @nazaqistsha.

Semoga saja kasus walet juga dapatkan keadilan ya pak @nazaqistsha.
https://t.co/F7iYgsrCME"
"1274638828318253056","RT @AnakLolina: Serangan anak buahnya yg sakit hati krn ingkar janji seperti berkah tersendiri buat Novel Baswedan. Betapa tidak, dari sini drama besar di mulai, menyerang pemerintahan Jokowi &amp; menutupi kasus pembunuhan.

Dukungan kaum DUNGU, PESAKITAN membuat #RekayasaDidzolimi berjalan baik. https://t.co/z9lAccofvX"
"1274638615826452480","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
